"PassengerId","Nationality"
892,"CelticEnglish"
893,"CelticEnglish"
894,"CelticEnglish"
895,"European,German"
896,"Nordic,Finland"
897,"Nordic,Scandinavian,Sweden"
898,"CelticEnglish"
899,"CelticEnglish"
900,"CelticEnglish"
901,"CelticEnglish"
902,"Hispanic,Spanish"
903,"CelticEnglish"
904,"Hispanic,Philippines"
905,"CelticEnglish"
906,"CelticEnglish"
907,"Hispanic,Philippines"
908,"CelticEnglish"
909,"Muslim,Nubian"
910,"EastAsian,Malay,Indonesia"
911,"Muslim,Nubian"
912,"CelticEnglish"
913,"Nordic,Scandinavian,Norway"
914,"European,French"
915,"CelticEnglish"
916,"CelticEnglish"
917,"CelticEnglish"
918,"European,French"
919,"Muslim,Nubian"
920,"CelticEnglish"
921,"Muslim,Nubian"
922,"CelticEnglish"
923,"CelticEnglish"
924,"CelticEnglish"
925,"CelticEnglish"
926,"European,German"
927,"Greek"
928,"European,German"
929,"European,SouthSlavs"
930,"Hispanic,Philippines"
931,"EastAsian,Chinese"
932,"European,German"
933,"CelticEnglish"
934,"CelticEnglish"
935,"CelticEnglish"
936,"CelticEnglish"
937,"European,German"
938,"European,French"
939,"CelticEnglish"
940,"CelticEnglish"
941,"CelticEnglish"
942,"CelticEnglish"
943,"European,German"
944,"CelticEnglish"
945,"CelticEnglish"
946,"European,Italian,Italy"
947,"CelticEnglish"
948,"European,French"
949,"Nordic,Scandinavian,Norway"
950,"CelticEnglish"
951,"European,French"
952,"European,Italian,Italy"
953,"CelticEnglish"
954,"Nordic,Scandinavian,Sweden"
955,"CelticEnglish"
956,"CelticEnglish"
957,"CelticEnglish"
958,"CelticEnglish"
959,"CelticEnglish"
960,"CelticEnglish"
961,"CelticEnglish"
962,"CelticEnglish"
963,"European,SouthSlavs"
964,"Nordic,Finland"
965,"Hispanic,Spanish"
966,"European,German"
967,"CelticEnglish"
968,"CelticEnglish"
969,"CelticEnglish"
970,"CelticEnglish"
971,"CelticEnglish"
972,"Muslim,Nubian"
973,"European,German"
974,"CelticEnglish"
975,"European,German"
976,"CelticEnglish"
977,"Muslim,Nubian"
978,"European,French"
979,"CelticEnglish"
980,"CelticEnglish"
981,"CelticEnglish"
982,"CelticEnglish"
983,"Nordic,Scandinavian,Norway"
984,"CelticEnglish"
985,"CelticEnglish"
986,"European,German"
987,"European,German"
988,"CelticEnglish"
989,"Nordic,Finland"
990,"Nordic,Scandinavian,Norway"
991,"CelticEnglish"
992,"European,French"
993,"European,German"
994,"CelticEnglish"
995,"Nordic,Scandinavian,Sweden"
996,"CelticEnglish"
997,"EastAsian,Malay,Indonesia"
998,"CelticEnglish"
999,"CelticEnglish"
1000,"European,German"
1001,"CelticEnglish"
1002,"CelticEnglish"
1003,"CelticEnglish"
1004,"CelticEnglish"
1005,"CelticEnglish"
1006,"European,German"
1007,"Greek"
1008,"CelticEnglish"
1009,"European,French"
1010,"CelticEnglish"
1011,"CelticEnglish"
1012,"CelticEnglish"
1013,"CelticEnglish"
1014,"CelticEnglish"
1015,"CelticEnglish"
1016,"CelticEnglish"
1017,"CelticEnglish"
1018,"CelticEnglish"
1019,"CelticEnglish"
1020,"CelticEnglish"
1021,"Nordic,Scandinavian,Denmark"
1022,"CelticEnglish"
1023,"CelticEnglish"
1024,"European,German"
1025,"CelticEnglish"
1026,"Hispanic,Portuguese"
1027,"Nordic,Scandinavian,Sweden"
1028,"European,French"
1029,"European,German"
1030,"CelticEnglish"
1031,"CelticEnglish"
1032,"CelticEnglish"
1033,"CelticEnglish"
1034,"CelticEnglish"
1035,"CelticEnglish"
1036,"Hispanic,Spanish"
1037,"European,German"
1038,"CelticEnglish"
1039,"CelticEnglish"
1040,"CelticEnglish"
1041,"Nordic,Finland"
1042,"CelticEnglish"
1043,"CelticEnglish"
1044,"CelticEnglish"
1045,"European,German"
1046,"Nordic,Scandinavian,Sweden"
1047,"CelticEnglish"
1048,"CelticEnglish"
1049,"Nordic,Scandinavian,Sweden"
1050,"CelticEnglish"
1051,"CelticEnglish"
1052,"CelticEnglish"
1053,"European,French"
1054,"CelticEnglish"
1055,"CelticEnglish"
1056,"CelticEnglish"
1057,"European,German"
1058,"European,German"
1059,"CelticEnglish"
1060,"CelticEnglish"
1061,"Hispanic,Spanish"
1062,"Nordic,Scandinavian,Sweden"
1063,"Hispanic,Spanish"
1064,"CelticEnglish"
1065,"Muslim,Nubian"
1066,"Nordic,Scandinavian,Sweden"
1067,"CelticEnglish"
1068,"European,French"
1069,"European,French"
1070,"European,German"
1071,"CelticEnglish"
1072,"CelticEnglish"
1073,"CelticEnglish"
1074,"CelticEnglish"
1075,"CelticEnglish"
1076,"CelticEnglish"
1077,"CelticEnglish"
1078,"CelticEnglish"
1079,"CelticEnglish"
1080,"CelticEnglish"
1081,"CelticEnglish"
1082,"CelticEnglish"
1083,"Hispanic,Spanish"
1084,"European,French"
1085,"CelticEnglish"
1086,"CelticEnglish"
1087,"Nordic,Scandinavian,Sweden"
1088,"CelticEnglish"
1089,"Nordic,Scandinavian,Sweden"
1090,"CelticEnglish"
1091,"Nordic,Scandinavian,Denmark"
1092,"CelticEnglish"
1093,"CelticEnglish"
1094,"CelticEnglish"
1095,"CelticEnglish"
1096,"CelticEnglish"
1097,"European,French"
1098,"CelticEnglish"
1099,"CelticEnglish"
1100,"European,German"
1101,"EastAsian,Malay,Indonesia"
1102,"Nordic,Scandinavian,Denmark"
1103,"European,Italian,Italy"
1104,"CelticEnglish"
1105,"CelticEnglish"
1106,"Nordic,Scandinavian,Sweden"
1107,"CelticEnglish"
1108,"CelticEnglish"
1109,"CelticEnglish"
1110,"CelticEnglish"
1111,"CelticEnglish"
1112,"European,Italian,Romania"
1113,"CelticEnglish"
1114,"CelticEnglish"
1115,"Nordic,Scandinavian,Sweden"
1116,"CelticEnglish"
1117,"European,French"
1118,"Nordic,Scandinavian,Sweden"
1119,"CelticEnglish"
1120,"CelticEnglish"
1121,"CelticEnglish"
1122,"CelticEnglish"
1123,"CelticEnglish"
1124,"Nordic,Scandinavian,Sweden"
1125,"CelticEnglish"
1126,"CelticEnglish"
1127,"Nordic,Scandinavian,Sweden"
1128,"CelticEnglish"
1129,"Hispanic,Portuguese"
1130,"Nordic,Scandinavian,Sweden"
1131,"CelticEnglish"
1132,"Nordic,Scandinavian,Sweden"
1133,"CelticEnglish"
1134,"European,French"
1135,"CelticEnglish"
1136,"CelticEnglish"
1137,"CelticEnglish"
1138,"CelticEnglish"
1139,"CelticEnglish"
1140,"European,French"
1141,"European,French"
1142,"CelticEnglish"
1143,"Nordic,Scandinavian,Sweden"
1144,"CelticEnglish"
1145,"Nordic,Scandinavian,Sweden"
1146,"European,German"
1147,"CelticEnglish"
1148,"CelticEnglish"
1149,"Nordic,Scandinavian,Sweden"
1150,"CelticEnglish"
1151,"CelticEnglish"
1152,"European,French"
1153,"Nordic,Scandinavian,Sweden"
1154,"CelticEnglish"
1155,"European,German"
1156,"Hispanic,Spanish"
1157,"European,SouthSlavs"
1158,"CelticEnglish"
1159,"CelticEnglish"
1160,"CelticEnglish"
1161,"CelticEnglish"
1162,"CelticEnglish"
1163,"CelticEnglish"
1164,"CelticEnglish"
1165,"CelticEnglish"
1166,"European,French"
1167,"European,German"
1168,"CelticEnglish"
1169,"CelticEnglish"
1170,"CelticEnglish"
1171,"CelticEnglish"
1172,"European,SouthSlavs"
1173,"CelticEnglish"
1174,"CelticEnglish"
1175,"Hispanic,Portuguese"
1176,"CelticEnglish"
1177,"CelticEnglish"
1178,"CelticEnglish"
1179,"CelticEnglish"
1180,"European,French"
1181,"CelticEnglish"
1182,"CelticEnglish"
1183,"CelticEnglish"
1184,"Muslim,Nubian"
1185,"CelticEnglish"
1186,"European,French"
1187,"European,French"
1188,"European,French"
1189,"European,German"
1190,"CelticEnglish"
1191,"Nordic,Scandinavian,Sweden"
1192,"Nordic,Scandinavian,Sweden"
1193,"Hispanic,Philippines"
1194,"CelticEnglish"
1195,"Hispanic,Portuguese"
1196,"CelticEnglish"
1197,"CelticEnglish"
1198,"CelticEnglish"
1199,"CelticEnglish"
1200,"CelticEnglish"
1201,"Nordic,Scandinavian,Denmark"
1202,"European,French"
1203,"CelticEnglish"
1204,"CelticEnglish"
1205,"CelticEnglish"
1206,"CelticEnglish"
1207,"CelticEnglish"
1208,"CelticEnglish"
1209,"CelticEnglish"
1210,"Nordic,Scandinavian,Sweden"
1211,"CelticEnglish"
1212,"Nordic,Scandinavian,Sweden"
1213,"Muslim,Persian"
1214,"Hispanic,Spanish"
1215,"CelticEnglish"
1216,"European,French"
1217,"Muslim,Nubian"
1218,"European,German"
1219,"CelticEnglish"
1220,"CelticEnglish"
1221,"Nordic,Scandinavian,Sweden"
1222,"CelticEnglish"
1223,"CelticEnglish"
1224,"European,French"
1225,"Hispanic,Spanish"
1226,"Hispanic,Spanish"
1227,"CelticEnglish"
1228,"Hispanic,Portuguese"
1229,"African,EastAfrican"
1230,"CelticEnglish"
1231,"EastAsian,Malay,Indonesia"
1232,"CelticEnglish"
1233,"Nordic,Scandinavian,Sweden"
1234,"CelticEnglish"
1235,"CelticEnglish"
1236,"CelticEnglish"
1237,"CelticEnglish"
1238,"CelticEnglish"
1239,"CelticEnglish"
1240,"CelticEnglish"
1241,"CelticEnglish"
1242,"CelticEnglish"
1243,"CelticEnglish"
1244,"CelticEnglish"
1245,"African,EastAfrican"
1246,"CelticEnglish"
1247,"EastAsian,Malay,Indonesia"
1248,"CelticEnglish"
1249,"CelticEnglish"
1250,"CelticEnglish"
1251,"Nordic,Scandinavian,Sweden"
1252,"CelticEnglish"
1253,"European,French"
1254,"CelticEnglish"
1255,"Hispanic,Spanish"
1256,"CelticEnglish"
1257,"CelticEnglish"
1258,"Hispanic,Philippines"
1259,"European,Italian,Italy"
1260,"CelticEnglish"
1261,"Hispanic,Spanish"
1262,"Hispanic,Spanish"
1263,"CelticEnglish"
1264,"CelticEnglish"
1265,"CelticEnglish"
1266,"CelticEnglish"
1267,"CelticEnglish"
1268,"European,German"
1269,"CelticEnglish"
1270,"CelticEnglish"
1271,"Nordic,Scandinavian,Sweden"
1272,"CelticEnglish"
1273,"CelticEnglish"
1274,"CelticEnglish"
1275,"CelticEnglish"
1276,"CelticEnglish"
1277,"CelticEnglish"
1278,"Nordic,Scandinavian,Sweden"
1279,"CelticEnglish"
1280,"CelticEnglish"
1281,"CelticEnglish"
1282,"CelticEnglish"
1283,"CelticEnglish"
1284,"CelticEnglish"
1285,"CelticEnglish"
1286,"EastAsian,Malay,Indonesia"
1287,"CelticEnglish"
1288,"CelticEnglish"
1289,"EastAsian,Malay,Indonesia"
1290,"Nordic,Scandinavian,Norway"
1291,"CelticEnglish"
1292,"CelticEnglish"
1293,"CelticEnglish"
1294,"CelticEnglish"
1295,"Hispanic,Spanish"
1296,"CelticEnglish"
1297,"CelticEnglish"
1298,"CelticEnglish"
1299,"CelticEnglish"
1300,"CelticEnglish"
1301,"CelticEnglish"
1302,"CelticEnglish"
1303,"CelticEnglish"
1304,"Nordic,Scandinavian,Sweden"
1305,"CelticEnglish"
1306,"Hispanic,Spanish"
1307,"Nordic,Scandinavian,Denmark"
1308,"CelticEnglish"
1309,"CelticEnglish"
