"PassengerId","Nationality"
1,"CelticEnglish"
2,"CelticEnglish"
3,"Nordic,Scandinavian,Sweden"
4,"CelticEnglish"
5,"CelticEnglish"
6,"CelticEnglish"
7,"CelticEnglish"
8,"Nordic,Scandinavian,Sweden"
9,"CelticEnglish"
10,"European,French"
11,"European,French"
12,"CelticEnglish"
13,"CelticEnglish"
14,"Nordic,Scandinavian,Sweden"
15,"Hispanic,Portuguese"
16,"CelticEnglish"
17,"CelticEnglish"
18,"CelticEnglish"
19,"CelticEnglish"
20,"Hispanic,Portuguese"
21,"CelticEnglish"
22,"CelticEnglish"
23,"CelticEnglish"
24,"CelticEnglish"
25,"Nordic,Scandinavian,Denmark"
26,"Nordic,Scandinavian,Sweden"
27,"EastAsian,Malay,Malaysia"
28,"CelticEnglish"
29,"CelticEnglish"
30,"CelticEnglish"
31,"Hispanic,Spanish"
32,"CelticEnglish"
33,"CelticEnglish"
34,"CelticEnglish"
35,"European,German"
36,"European,German"
37,"European,German"
38,"CelticEnglish"
39,"European,Italian,Italy"
40,"European,French"
41,"Nordic,Scandinavian,Sweden"
42,"CelticEnglish"
43,"European,German"
44,"European,French"
45,"CelticEnglish"
46,"CelticEnglish"
47,"CelticEnglish"
48,"CelticEnglish"
49,"Muslim,Nubian"
50,"European,German"
51,"Nordic,Finland"
52,"CelticEnglish"
53,"CelticEnglish"
54,"CelticEnglish"
55,"EastAsian,Malay,Indonesia"
56,"CelticEnglish"
57,"CelticEnglish"
58,"EastAsian,Malay,Indonesia"
59,"CelticEnglish"
60,"CelticEnglish"
61,"European,German"
62,"European,French"
63,"CelticEnglish"
64,"Nordic,Scandinavian,Sweden"
65,"CelticEnglish"
66,"European,French"
67,"CelticEnglish"
68,"CelticEnglish"
69,"Nordic,Scandinavian,Sweden"
70,"European,German"
71,"CelticEnglish"
72,"CelticEnglish"
73,"CelticEnglish"
74,"Greek"
75,"CelticEnglish"
76,"Nordic,Scandinavian,Norway"
77,"CelticEnglish"
78,"European,French"
79,"CelticEnglish"
80,"CelticEnglish"
81,"European,French"
82,"European,German"
83,"CelticEnglish"
84,"Hispanic,Spanish"
85,"Hispanic,Spanish"
86,"Hispanic,Spanish"
87,"CelticEnglish"
88,"Muslim,Turkic,Turkey"
89,"CelticEnglish"
90,"European,Italian,Italy"
91,"European,German"
92,"Nordic,Scandinavian,Sweden"
93,"European,German"
94,"CelticEnglish"
95,"CelticEnglish"
96,"CelticEnglish"
97,"European,German"
98,"CelticEnglish"
99,"CelticEnglish"
100,"Hispanic,Spanish"
101,"CelticEnglish"
102,"Hispanic,Spanish"
103,"CelticEnglish"
104,"Nordic,Scandinavian,Sweden"
105,"Nordic,Scandinavian,Sweden"
106,"European,SouthSlavs"
107,"European,Italian,Italy"
108,"CelticEnglish"
109,"European,German"
110,"Hispanic,Spanish"
111,"CelticEnglish"
112,"European,French"
113,"CelticEnglish"
114,"Nordic,Finland"
115,"European,French"
116,"Nordic,Scandinavian,Norway"
117,"CelticEnglish"
118,"CelticEnglish"
119,"CelticEnglish"
120,"Nordic,Scandinavian,Denmark"
121,"CelticEnglish"
122,"CelticEnglish"
123,"CelticEnglish"
124,"CelticEnglish"
125,"CelticEnglish"
126,"Hispanic,Portuguese"
127,"CelticEnglish"
128,"Nordic,Scandinavian,Norway"
129,"European,German"
130,"Nordic,Scandinavian,Sweden"
131,"CelticEnglish"
132,"Hispanic,Portuguese"
133,"CelticEnglish"
134,"European,French"
135,"CelticEnglish"
136,"European,French"
137,"CelticEnglish"
138,"European,French"
139,"European,German"
140,"Hispanic,Spanish"
141,"CelticEnglish"
142,"Nordic,Scandinavian,Norway"
143,"Nordic,Finland"
144,"CelticEnglish"
145,"Hispanic,Philippines"
146,"CelticEnglish"
147,"Nordic,Scandinavian,Sweden"
148,"CelticEnglish"
149,"European,French"
150,"CelticEnglish"
151,"CelticEnglish"
152,"CelticEnglish"
153,"Hispanic,Spanish"
154,"CelticEnglish"
155,"Nordic,Scandinavian,Norway"
156,"CelticEnglish"
157,"CelticEnglish"
158,"CelticEnglish"
159,"European,SouthSlavs"
160,"CelticEnglish"
161,"CelticEnglish"
162,"CelticEnglish"
163,"Nordic,Scandinavian,Sweden"
164,"European,SouthSlavs"
165,"CelticEnglish"
166,"CelticEnglish"
167,"CelticEnglish"
168,"Nordic,Scandinavian,Sweden"
169,"European,German"
170,"EastAsian,Chinese"
171,"CelticEnglish"
172,"CelticEnglish"
173,"CelticEnglish"
174,"Nordic,Finland"
175,"CelticEnglish"
176,"Nordic,Scandinavian,Sweden"
177,"European,German"
178,"CelticEnglish"
179,"CelticEnglish"
180,"European,French"
181,"CelticEnglish"
182,"European,French"
183,"CelticEnglish"
184,"European,German"
185,"European,German"
186,"CelticEnglish"
187,"CelticEnglish"
188,"European,French"
189,"CelticEnglish"
190,"European,SouthSlavs"
191,"Hispanic,Spanish"
192,"CelticEnglish"
193,"Hispanic,Portuguese"
194,"European,French"
195,"CelticEnglish"
196,"European,French"
197,"CelticEnglish"
198,"Nordic,Scandinavian,Norway"
199,"CelticEnglish"
200,"European,French"
201,"Hispanic,Spanish"
202,"CelticEnglish"
203,"Nordic,Scandinavian,Sweden"
204,"Muslim,Nubian"
205,"European,French"
206,"Hispanic,Portuguese"
207,"CelticEnglish"
208,"Muslim,Nubian"
209,"CelticEnglish"
210,"European,German"
211,"Muslim,Nubian"
212,"CelticEnglish"
213,"CelticEnglish"
214,"European,German"
215,"CelticEnglish"
216,"CelticEnglish"
217,"Nordic,Finland"
218,"Hispanic,Portuguese"
219,"European,Italian,Italy"
220,"CelticEnglish"
221,"CelticEnglish"
222,"CelticEnglish"
223,"CelticEnglish"
224,"EastAsian,Malay,Indonesia"
225,"CelticEnglish"
226,"Nordic,Scandinavian,Sweden"
227,"CelticEnglish"
228,"CelticEnglish"
229,"Nordic,Scandinavian,Sweden"
230,"European,French"
231,"CelticEnglish"
232,"Nordic,Scandinavian,Sweden"
233,"European,German"
234,"Nordic,Scandinavian,Sweden"
235,"Hispanic,Philippines"
236,"CelticEnglish"
237,"CelticEnglish"
238,"CelticEnglish"
239,"CelticEnglish"
240,"CelticEnglish"
241,"Hispanic,Portuguese"
242,"CelticEnglish"
243,"CelticEnglish"
244,"Nordic,Finland"
245,"European,French"
246,"CelticEnglish"
247,"Nordic,Scandinavian,Norway"
248,"Nordic,Finland"
249,"CelticEnglish"
250,"CelticEnglish"
251,"CelticEnglish"
252,"Nordic,Scandinavian,Norway"
253,"CelticEnglish"
254,"CelticEnglish"
255,"Hispanic,Portuguese"
256,"Nordic,Scandinavian,Sweden"
257,"CelticEnglish"
258,"CelticEnglish"
259,"CelticEnglish"
260,"CelticEnglish"
261,"CelticEnglish"
262,"Nordic,Scandinavian,Sweden"
263,"European,German"
264,"CelticEnglish"
265,"CelticEnglish"
266,"CelticEnglish"
267,"CelticEnglish"
268,"Nordic,Scandinavian,Sweden"
269,"CelticEnglish"
270,"CelticEnglish"
271,"CelticEnglish"
272,"Hispanic,Spanish"
